from_id,from_name,from_type,to_id,to_name,to_type,relationship
Product,Product,Product,Rb-EXWM,Rb-EXWM,Product,HAS
Product,Product,Product,Rb-EXSB,Rb-EXSB,Product,HAS
Product,Product,Product,Rb-ESM,Rb-ESM,Product,HAS
Product,Product,Product,Rb-EXOM,Rb-EXOM,Product,HAS
Product,Product,Product,Rb-EXML,Rb-EXML,Product,HAS
Product,Product,Product,Rb-EXBB,Rb-EXBB,Product,HAS
Product,Product,Product,Rb-EXHX,Rb-EXHX,Product,HAS
Product,Product,Product,Rb-BBM,Rb-BBM,Product,HAS
Product,Product,Product,Rb-EXTT,Rb-EXTT,Product,HAS
Product,Product,Product,Rb-EXGF,Rb-EXGF,Product,HAS
Product,Product,Product,Rb-EXPM,Rb-EXPM,Product,HAS
Product,Product,Product,Rb-EXLI,Rb-EXLI,Product,HAS
Product,Product,Product,DMGP,DMGP,Product,HAS
Product,Product,Product,DMGT,DMGT,Product,HAS
Product,Product,Product,sku,sku,sku,HAS
sku,sku,sku,302,302,sku,HAS
sku,sku,sku,303,303,sku,HAS
sku,sku,sku,309,309,sku,HAS
sku,sku,sku,305,305,sku,HAS
sku,sku,sku,306,306,sku,HAS
sku,sku,sku,304,304,sku,HAS
sku,sku,sku,313,313,sku,HAS
sku,sku,sku,314,314,sku,HAS
sku,sku,sku,310,310,sku,HAS
sku,sku,sku,311,311,sku,HAS
sku,sku,sku,307,307,sku,HAS
sku,sku,sku,312,312,sku,HAS
sku,sku,sku,295,295,sku,HAS
sku,sku,sku,296,296,sku,HAS
Product,Product,Product,Colour,Colour,Color,HAS
Colour,Colour,Color,Red,Red,Color,HAS
Colour,Colour,Color,Green,Green,Color,HAS
Colour,Colour,Color,Yellow,Yellow,Color,HAS
Colour,Colour,Color,Purple,Purple,Color,HAS
Environment,Environment,Environment,Coating Process,Coating Process,CoatingProcess,ASSOCIATES_WITH
Environment,Environment,Environment,Logistics Condition,Logistics Condition,Environment,HAS
Environment,Environment,Environment,Warehouse Condition,Warehouse Condition,Environment,HAS
Logistics Condition,Logistics Condition,Environment,Temperature,Temperature,Environment,HAS
Logistics Condition,Logistics Condition,Environment,Humidity,Humidity,Environment,HAS
Warehouse Condition,Warehouse Condition,Environment,Temperature,Temperature,Environment,HAS
Warehouse Condition,Warehouse Condition,Environment,Humidity,Humidity,Environment,HAS
InputMaterial,InputMaterial,InputMaterial,Coating Process,Coating Process,CoatingProcess,INPUT
InputMaterial,InputMaterial,InputMaterial,Gum Base,Gum Base,InputMaterial,INPUT
InputMaterial,InputMaterial,InputMaterial,Softener,Softener,InputMaterial,INPUT
InputMaterial,InputMaterial,InputMaterial,Flavor,Flavor,InputMaterial,INPUT
InputMaterial,InputMaterial,InputMaterial,Sweetener,Sweetener,InputMaterial,INPUT
InputMaterial,InputMaterial,InputMaterial,Polyol,Polyol,InputMaterial,INPUT
TypeOfPolyol,TypeOfPolyol,InputMaterial,Polyol,Polyol,InputMaterial,RELATES_TO
RatioOfPolyol,RatioOfPolyol,InputMaterial,Polyol,Polyol,InputMaterial,RELATES_TO
SizeOfPolyol,SizeOfPolyol,InputMaterial,Polyol,Polyol,InputMaterial,RELATES_TO
DistributionOfParticles,DistributionOfParticles,InputMaterial,Polyol,Polyol,InputMaterial,RELATES_TO
ConcentrationOfParticles,ConcentrationOfParticles,InputMaterial,Polyol,Polyol,InputMaterial,RELATES_TO
BondingOfParticles,BondingOfParticles,InputMaterial,Polyol,Polyol,InputMaterial,RELATES_TO
Coating Process,Coating Process,CoatingProcess,Product,Product,Product,OUTPUT
Coating Process,Coating Process,CoatingProcess,ProcessType,ProcessType,ProcessType,HAS
ProcessType,ProcessType,ProcessType,Syrup,Syrup,ProcessType,HAS
ProcessType,ProcessType,ProcessType,Pause,Pause,ProcessType,HAS
ProcessType,ProcessType,ProcessType,Powder,Powder,ProcessType,HAS
ProcessType,ProcessType,ProcessType,Drying,Drying,ProcessType,HAS
ProcessType,ProcessType,ProcessType,Flavor,Flavor,ProcessType,HAS
ProcessType,ProcessType,ProcessType,Speckle,Speckle,ProcessType,HAS
ProcessType,ProcessType,ProcessType,CoatingPhase,CoatingPhase,CoatingPhase,INCLUDES
CoatingPhase,CoatingPhase,CoatingPhase,Phase-1,Phase-1,CoatingPhase,HAS
CoatingPhase,CoatingPhase,CoatingPhase,Phase-2,Phase-2,CoatingPhase,HAS
CoatingPhase,CoatingPhase,CoatingPhase,Phase-3,Phase-3,CoatingPhase,HAS
CoatingPhase,CoatingPhase,CoatingPhase,Phase-4,Phase-4,CoatingPhase,HAS
CoatingPhase,CoatingPhase,CoatingPhase,Phase-5,Phase-5,CoatingPhase,HAS
CoatingPhase,CoatingPhase,CoatingPhase,Phase-6,Phase-6,CoatingPhase,HAS
CoatingPhase,CoatingPhase,CoatingPhase,Phase-7,Phase-7,CoatingPhase,HAS
CoatingPhase,CoatingPhase,CoatingPhase,Phase-8,Phase-8,CoatingPhase,HAS
CoatingPhase,CoatingPhase,CoatingPhase,Phase-9,Phase-9,CoatingPhase,HAS
CoatingPhase,CoatingPhase,CoatingPhase,Phase-10,Phase-10,CoatingPhase,HAS
CoatingPhase,CoatingPhase,CoatingPhase,Phase-11,Phase-11,CoatingPhase,HAS
CoatingPhase,CoatingPhase,CoatingPhase,Phase-12,Phase-12,CoatingPhase,HAS
CoatingPhase,CoatingPhase,CoatingPhase,Phase-13,Phase-13,CoatingPhase,HAS
CoatingPhase,CoatingPhase,CoatingPhase,Phase-14,Phase-14,CoatingPhase,HAS
CoatingPhase,CoatingPhase,CoatingPhase,Phase-15,Phase-15,CoatingPhase,HAS
CoatingPhase,CoatingPhase,CoatingPhase,Phase-16,Phase-16,CoatingPhase,HAS
CoatingPhase,CoatingPhase,CoatingPhase,Coating Cycle,Coating Cycle,CoatingCycle,HAS
Coating Cycle,Coating Cycle,CoatingCycle,Cycle-1,Cycle-1,CoatingCycle,HAS
Coating Cycle,Coating Cycle,CoatingCycle,Cycle-2,Cycle-2,CoatingCycle,HAS
