name,type,in_scope
Product,Product,Product
Rb-EXWM,Product,Product
Rb-EXSB,Product,Product
Rb-ESM,Product,Product
Rb-EXOM,Product,Product
Rb-EXML,Product,Product
Rb-EXBB,Product,Product
Rb-EXHX,Product,Product
Rb-BBM,Product,Product
Rb-EXTT,Product,Product
Rb-EXGF,Product,Product
Rb-EXPM,Product,Product
Rb-EXLI,Product,Product
DMGP,Product,Product
DMGT,Product,Product
sku,sku,
302,sku,
303,sku,
309,sku,
305,sku,
306,sku,
304,sku,
313,sku,
314,sku,
310,sku,
311,sku,
307,sku,
312,sku,
295,sku,
296,sku,
Colour,Color,
Red,Color,
Green,Color,
Yellow,Color,
Purple,Color,
Environment,Environment,Environment
Logistics Condition,Environment,Environment
Warehouse Condition,Environment,Environment
Humidity,Environment,Environment
Temperature,Environment,Environment
Coating Process,CoatingProcess,CoatingProcess
ProcessType,ProcessType,ProcessType
Syrup,ProcessType,ProcessType
Pause,ProcessType,ProcessType
Powder,ProcessType,ProcessType
Drying,ProcessType,ProcessType
Flavor,ProcessType,ProcessType
Speckle,ProcessType,ProcessType
Coating Step,CoatingStep,
Step-1,CoatingStep,
Step-2,CoatingStep,
Step-3,CoatingStep,
Step-4,CoatingStep,
Step-5,CoatingStep,
Step-6,CoatingStep,
Step-7,CoatingStep,
Coating Cycle,CoatingCycle,
Cycle-1,CoatingCycle,
Cycle-2,CoatingCycle,
Cycle-3,CoatingCycle,
Cycle-4,CoatingCycle,
Cycle-5,CoatingCycle,
Cycle-6,CoatingCycle,
Cycle-7,CoatingCycle,
Cycle-8,CoatingCycle,
Cycle-9,CoatingCycle,
InputMaterial,InputMaterial,InputMaterial
Gum Base,InputMaterial,InputMaterial
Softener,InputMaterial,InputMaterial
Flavor,InputMaterial,InputMaterial
Sweetener,InputMaterial,InputMaterial
Polyol,InputMaterial,InputMaterial
TypeOfPolyol,InputMaterial,InputMaterial
RatioOfPolyol,InputMaterial,InputMaterial
SizeOfPolyol,InputMaterial,InputMaterial
DistributionOfParticles,InputMaterial,InputMaterial
ConcentrationOfParticles,InputMaterial,InputMaterial
BondingOfParticles,InputMaterial,InputMaterial
CoatingPhase,CoatingPhase,
Phase-1,CoatingPhase,
Phase-2,CoatingPhase,
Phase-3,CoatingPhase,
Phase-4,CoatingPhase,
Phase-5,CoatingPhase,
Phase-6,CoatingPhase,
Phase-7,CoatingPhase,
Phase-8,CoatingPhase,
Phase-9,CoatingPhase,
Phase-10,CoatingPhase,
Phase-11,CoatingPhase,
Phase-12,CoatingPhase,
Phase-13,CoatingPhase,
Phase-14,CoatingPhase,
Phase-15,CoatingPhase,
Phase-16,CoatingPhase,
Measurement,Measurement,Measurement
Appearance,Measurement,Measurement
PelletWeight,Measurement,Measurement
Crunchiness,Measurement,Measurement
ProcessParameter,ProcessParameter,ProcessParameter
Shelf-lifeTesting,Quality,Quality
Sound,Quality,Quality
Smoothness,Quality,Quality
PreviousSmoothness,Quality,Quality
Washedcorner,Quality,Quality
PreviousWashedcorner,Quality,Quality
CycleQtyOfPhase,Quality,Quality
PreviousPelletWeight,Quality,Quality
CurrentSyrup,Quality,Quality
CurrentWeightIncrement,Quality,Quality
GumCenterQty,Quality,Quality
GumCenterTotWeight,Quality,Quality
GumCenterAverageWeight,Quality,Quality
Texture Analysis,Quality,Quality
Sensory Panel,Quality,Quality
Water Activity,Quality,Quality
SyrupConcentration,Quality,Quality
PreviousHardness,Quality,Quality
SyrupSprayUniformity,Quality,Quality
SyrupNozzleSize,Quality,Quality
Hardness,Quality,Quality
ThicknessOfCoating,Quality,Quality
CompactnessOfCrystals,Quality,Quality
SyrupTemperature,Quality,Quality
SyrupViscosity,Quality,Quality
PowerAmt,Quality,Quality
DryingTime,Quality,Quality
ACYLDamper,ProcessParameter,ProcessParameter
ACYLExhaustDamper,ProcessParameter,ProcessParameter
Batch,ProcessParameter,ProcessParameter
BrixFromMM,ProcessParameter,ProcessParameter
CurrentStep,ProcessParameter,ProcessParameter
Cycle,ProcessParameter,ProcessParameter
CYLBucketConveyor,ProcessParameter,ProcessParameter
CYLBypassDamper,ProcessParameter,ProcessParameter
CYLCleaningExhaustDamper,ProcessParameter,ProcessParameter
CYLExhaustDamper,ProcessParameter,ProcessParameter
CYLInletDamper,ProcessParameter,ProcessParameter
CYLSupplyDamper,ProcessParameter,ProcessParameter
Dewpoint,ProcessParameter,ProcessParameter
Diff_Pressure,ProcessParameter,ProcessParameter
DriamStatus,ProcessParameter,ProcessParameter
DrumSpeed,ProcessParameter,ProcessParameter
ExhausFanSpeed,ProcessParameter,ProcessParameter
Feederrate,ProcessParameter,ProcessParameter
Flowrate,ProcessParameter,ProcessParameter
Formula,ProcessParameter,ProcessParameter
FormulaName,ProcessParameter,ProcessParameter
GumCenterHopperCAVGate,ProcessParameter,ProcessParameter
GumCenterHopperWeight,ProcessParameter,ProcessParameter
Loading,ProcessParameter,ProcessParameter
MTRBlower,ProcessParameter,ProcessParameter
MuntersVFDFanSpeed,ProcessParameter,ProcessParameter
Phase,ProcessParameter,ProcessParameter
PhaseTotSyrup,ProcessParameter,ProcessParameter
CycleTotSyrup,ProcessParameter,ProcessParameter
PowderVDFFeeder,ProcessParameter,ProcessParameter
Sprayrate,ProcessParameter,ProcessParameter
StartTime,ProcessParameter,ProcessParameter
Step,ProcessParameter,ProcessParameter
Temperature,ProcessParameter,ProcessParameter
VFDDrumDrive,ProcessParameter,ProcessParameter
VFDExhaustFan,ProcessParameter,ProcessParameter
VFDFan,ProcessParameter,ProcessParameter
VFDMainPump,ProcessParameter,ProcessParameter
PowderSprayUniformity,ProcessParameter,ProcessParameter
PowderNozzleSize,ProcessParameter,ProcessParameter
Driam,Machine,
Management personnel,Man,Man
Production personnel,Man,Man
Quality control personnel,Man,Man
Research and development personnel,Man,Man
Logistics personnel,Man,Man
