BatchID,SKU,Phase,Cycle,TS,Rate1,Rate2,Rate3,Rate4,AvgSyrup,AvgPause,AvgDrying,AvgSpeed1,AvgSpeed2,AvgSurupDF,AvgPauseDF,AvgDryingDF,AvgSpeed1DF,AvgSpeed2DF,ActionResult,driam,method_class
01-2024-02-22 11:08,Rb-EXOM,10,2,2024-02-22 18:16:24,0.5,0.3,0.175,0.025,1.011383956401372,0.9508081624793739,0.8663269391099918,1.0102045625942684,1.0116421568627452,1.0354215625577736,1.0198155637217976,1.0078427636996896,1.0102045625942684,1.0116421568627452,Bad,1,P10A
01-2024-02-22 11:08,Rb-EXOM,10,3,2024-02-22 18:16:24,0.75,0.15,0.095,0.005,1.0111621839717433,0.929525984076697,0.9151676815701314,1.0098981900452488,1.0107937405731524,1.0310191964053903,0.9971626484623751,1.0203096792334396,1.0098981900452488,1.0107937405731524,Good,1,P10A
01-2024-02-28 14:56,Rb-EXSB,10,4,2024-02-28 22:14:15,0.995,0.005,0.0,0.0,1.010948579863848,0.9254237823388566,0.9223523539347862,1.0096990544403606,1.0104529890365344,1.0317218854076033,0.9925988482284374,1.0096087803971012,1.0096990544403606,1.0104529890365344,Good,1,P10A
01-2024-04-10 04:08,Rb-ESM,8,3,2024-04-10 14:02:19,1.0,0.0,0.0,0.0,0.9998391784104519,0.9931631439464549,0.9534642013402383,0.955182627166162,0.9560078631599084,1.0234678458669455,0.7772213050292399,0.9908999822473805,0.955182627166162,0.9560078631599084,Good,1,P8
01-2024-04-21 09:30,Rb-EXSB,8,3,2024-04-21 16:58:27,0.07563025210084033,0.9159663865546218,0.008403361344537815,0.0,0.9998391784104519,0.9931631439464549,0.9534642013402383,0.955182627166162,0.9560078631599084,1.0234678458669455,0.7772213050292399,0.9908999822473805,0.955182627166162,0.9560078631599084,Good,1,P8
01-2024-04-22 03:29,Rb-EXSB,10,6,2024-04-22 10:43:45,0.07,0.9,0.03,0.0,0.9848225858478724,0.8271092978602615,1.174079777031772,1.0023653566229986,0.9840663339571637,1.05810358726644,0.9442581993974856,0.9798034659914843,0.997387750879371,0.9791795985930065,Bad,1,P10B
01-2024-04-22 17:59,Rb-EXSB,10,4,2024-04-23 01:58:23,0.75,0.2,0.05,0.0,1.0103001575435002,0.8959570408449143,0.9855093384232414,1.008995008006028,1.0089243665818968,1.0287463734664493,0.9608450612780335,1.0014058712651557,1.008995008006028,1.0089243665818968,Good,1,P10A
01-2024-04-23 02:05,Rb-EXBB,8,2,2024-04-23 13:24:33,0.0,0.6,0.4,0.0,0.9990627632403418,0.995371030522514,0.9382655766148259,0.9549271738699052,0.9565682422510617,1.0262487553176722,0.7755464822746889,0.9916342109469685,0.9549271738699052,0.9565682422510617,Bad,1,P8
01-2024-04-23 02:05,Rb-EXBB,8,4,2024-04-23 13:24:33,0.01639344262295082,0.819672131147541,0.16393442622950818,0.0,1.0005468895676595,1.0520297947362758,0.9686720675367767,0.947918953987424,0.9465582060751239,1.0212096045334402,0.7648356308696073,0.9894557073913786,0.947918953987424,0.9465582060751239,Bad,1,P8
01-2024-04-23 02:05,Rb-EXBB,10,1,2024-04-23 13:24:33,0.0784313725490196,0.8431372549019608,0.0784313725490196,0.0,0.8245519840236073,0.7564018238366916,0.9875208672169848,0.9939043878464182,0.9953374396890108,0.8283573455544626,0.7845948319604008,0.9931371985876752,0.9939043878464182,0.9953374396890108,Good,1,P10A
01-2024-04-23 02:05,Rb-EXBB,10,3,2024-04-23 13:24:33,0.0,0.98,0.02,0.0,1.011273071604742,0.9401661454648694,0.8907463865507206,1.0100513763197587,1.011217948717949,1.0332159595700106,1.0084891060920864,1.0142085854532583,1.0100513763197587,1.011217948717949,Good,1,P10A
01-2024-04-23 02:05,Rb-EXBB,10,4,2024-04-23 13:24:33,0.17647058823529413,0.803921568627451,0.0196078431372549,0.0,1.0103001575435002,0.8959570408449143,0.9855093384232414,1.008995008006028,1.0089243665818968,1.0287463734664493,0.9608450612780335,1.0014058712651557,1.008995008006028,1.0089243665818968,Good,1,P10A
01-2024-04-23 02:05,Rb-EXBB,10,5,2024-04-23 13:24:33,0.06,0.94,0.0,0.0,1.0089754343021444,0.8616580788039131,1.1071138886006375,1.007028964996698,0.9996273233503854,1.0415393140794207,0.9785299833426073,0.9995440536808764,0.9991107366844519,0.9917672938491748,Good,1,P10B
01-2024-04-23 02:05,Rb-EXBB,10,6,2024-04-23 13:24:33,0.02,0.97,0.01,0.0,0.9848225858478724,0.8271092978602615,1.174079777031772,1.0023653566229986,0.9840663339571637,1.05810358726644,0.9442581993974856,0.9798034659914843,0.997387750879371,0.9791795985930065,Good,1,P10B
01-2024-04-23 02:05,Rb-EXBB,11,1,2024-04-23 13:24:33,0.3,0.7,0.0,0.0,1.0828023238825832,0.9784387017957703,1.0806579239590959,1.0164473684210527,1.0211242392120334,1.0244948749187384,1.0058112281590197,1.0261015429037563,1.015901771336554,1.0205761317299014,Good,1,P11+
01-2024-04-23 02:05,Rb-EXBB,12,1,2024-04-23 13:24:33,0.9183673469387755,0.08163265306122448,0.0,0.0,1.080894672567556,0.9821230045961976,1.1635105060079958,1.0085948430941436,0.9885402092078085,1.0022209191654838,0.9821230045961976,1.0219296486453386,1.0085948430941436,0.9885402092078085,Good,1,P11+
01-2024-04-23 22:25,Rb-EXBB,8,4,2024-04-24 07:14:57,0.0,0.7719298245614035,0.22807017543859648,0.0,0.9941142432961321,2.355732961323674,0.9228138454445985,0.9262153846153846,0.9154871794871795,1.006332608237721,0.6890133988185256,0.9776233950528231,0.9262153846153846,0.9154871794871795,Bad,1,P8
01-2024-04-23 22:25,Rb-EXBB,10,3,2024-04-24 07:14:57,0.0,1.0,0.0,0.0,0.866128602013188,0.8507000213890095,0.9793171678836343,0.9963185845162589,0.9977117940199335,0.8733774996073654,0.8976079409719803,0.9947306944651576,0.9963185845162589,0.9977117940199335,Good,1,P10A
01-2024-04-23 22:25,Rb-EXBB,10,5,2024-04-24 07:14:57,0.23636363636363636,0.7636363636363637,0.0,0.0,1.0096383606691668,0.8788210197816113,1.0462541074824605,1.0080128205128205,1.0042797888476025,1.0350936683267216,0.9694274436724212,1.0004208805919503,1.004037558685446,1.0003192488352457,Good,1,P10B
01-2024-04-24 16:20,Rb-EXBB,9,2,2024-04-25 01:01:58,0.12162162162162163,0.7162162162162162,0.16216216216216217,0.0,0.7994757350541508,0.5599111112348606,0.9958114285499222,0.9944181377324944,0.9960242347430245,0.7994757350541508,0.5599111112348606,0.9958114285499222,0.9944181377324944,0.9960242347430245,Good,1,other
01-2024-04-24 16:20,Rb-EXBB,10,1,2024-04-25 01:01:58,0.0,0.8333333333333334,0.16666666666666666,0.0,0.935460209452408,0.8842549205543849,0.9142815764837086,0.9907433279143807,0.9911116473616474,0.9593595745557953,0.9400110363319635,0.9681217131023858,0.9907433279143807,0.9911116473616474,Bad,1,P10A
01-2024-04-24 16:20,Rb-EXBB,10,2,2024-04-25 01:01:58,0.0,0.9772727272727273,0.022727272727272728,0.0,1.011383956401372,0.9508081624793739,0.8663269391099918,1.0102045625942684,1.0116421568627452,1.0354215625577736,1.0198155637217976,1.0078427636996896,1.0102045625942684,1.0116421568627452,Good,1,P10A
01-2024-04-24 16:20,Rb-EXBB,10,4,2024-04-25 01:01:58,0.0,0.9795918367346939,0.02040816326530612,0.0,1.0107309815770522,0.9127371235987078,0.9503544689296486,1.0094464075382805,1.0098586572438162,1.0298815167902697,0.9789962154955336,1.0104154653579436,1.0094464075382805,1.0098586572438162,Good,1,P10A
01-2024-04-24 16:20,Rb-EXBB,10,6,2024-04-25 01:01:58,0.0,0.98,0.02,0.0,0.9975014534167227,0.845201616509821,1.1389736671002715,1.004810308156502,0.9922243656423176,1.049243213340354,0.962250507023695,0.9897643442331817,0.9982922993758907,0.9857879994196637,Good,1,P10B
01-2024-04-24 16:20,Rb-EXBB,11,1,2024-04-25 01:01:58,0.1,0.9,0.0,0.0,1.0828023238825832,0.9784387017957703,1.0806579239590959,1.0164473684210527,1.0211242392120334,1.0244948749187384,1.0058112281590197,1.0261015429037563,1.015901771336554,1.0205761317299014,Good,1,P11+
01-2024-04-24 16:20,Rb-EXBB,12,1,2024-04-25 01:01:58,0.9,0.1,0.0,0.0,1.080894672567556,0.9821230045961976,1.1635105060079958,1.0085948430941436,0.9885402092078085,1.0022209191654838,0.9821230045961976,1.0219296486453386,1.0085948430941436,0.9885402092078085,Good,1,P11+
