"","Date","大辊速度","1号辊轮速度","1号辊间隙","2号辊轮速度","2号辊间隙","3号辊轮速度","3号辊间隙","Forming Roller 辊轮速度","Forming Roller 定型辊间隙","1号冷辊入口温度","2号冷辊入口温度","Item","entry_type","Weight","Sugar","batch","Weight_smoothed"
"1",2024-05-27 17:15:17,23.1,84.6,0.1018,122.5,0.066,141.7,0.064,165.8,0.062,-9.3,-9.7,"DMPY（绿箭金装薄荷）",3,35.2,"Sugar",1,35.2
"2",2024-05-27 17:15:26,23.1,84.6,0.1018,122.5,0.066,141.7,0.064,165.8,0.062,-9.3,-9.7,"DMPY（绿箭金装薄荷）",3,35.15,"Sugar",1,35.15
"3",2024-05-27 17:33:02,22.4,83.8,0.1018,121.3,0.066,140.3,0.064,165.8,0.061,-12.5,-12.9,"DMPY（绿箭金装薄荷）",3,34.97,"Sugar",1,34.97
"4",2024-05-27 17:33:10,22.4,83.8,0.1018,121.3,0.066,140.3,0.064,165.8,0.061,-12.5,-12.9,"DMPY（绿箭金装薄荷）",3,35.11,"Sugar",1,35.11
"5",2024-05-27 17:38:35,22.9,83.8,0.1018,121.3,0.066,140.3,0.064,165.8,0.061,-13.5,-13.9,"DMPY（绿箭金装薄荷）",3,35.04,"Sugar",1,35.094
"6",2024-05-27 17:38:45,22.9,83.8,0.1018,121.3,0.066,140.3,0.064,165.7,0.061,-13.6,-14,"DMPY（绿箭金装薄荷）",3,35.44,"Sugar",1,35.142
"7",2024-05-27 17:38:48,22.9,83.8,0.1018,121.3,0.066,140.3,0.064,165.7,0.061,-13.6,-14,"DMPY（绿箭金装薄荷）",3,35.3,"Sugar",1,35.172
"8",2024-05-27 17:43:58,23.1,83.8,0.1009,121.3,0.065,140.3,0.063,165.8,0.061,-14.1,-14.5,"DMPY（绿箭金装薄荷）",3,34.96,"Sugar",1,35.17
"9",2024-05-27 17:44:02,23.1,83.8,0.1009,121.2,0.065,140.3,0.063,165.7,0.061,-14.1,-14.5,"DMPY（绿箭金装薄荷）",3,34.94,"Sugar",1,35.136
"10",2024-05-27 17:44:15,23.1,83.8,0.1009,121.3,0.065,140.3,0.063,165.8,0.061,-14.1,-14.5,"DMPY（绿箭金装薄荷）",3,35.3,"Sugar",1,35.188
