TS,CG STI.CG STI.LoafGum.LoafGum01AverageTemp,CG STI.CG STI.LoafGum.LoafGum01MaxTemp,CG STI.CG STI.LoafGum.LoafGum01MinTemp,CG_Sheeting.CG_Sheeting.Variables.rGumExtruderExitGumTemp,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rChillerSetpoint,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1OutletTemp,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum2InletTemp,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum2OutletTemp,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rGumEntranceTemperature,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rGumExitTempLeft,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rGumExitTempRight,SFBMix.PLC_BOSCH EXTRUDER.DB_Data_Exchange.Drum_Speed_RealValue1,SFBMix.PLC_BOSCH EXTRUDER.DB_Data_Exchange.Drum_Speed_RealValue2,SFBMix.PLC_BOSCH EXTRUDER.DB_Data_Exchange.Drum_Speed_SP,SFBMix.PLC_BOSCH EXTRUDER.DB_Data_Exchange.EXT_LB_Temp_RealValue,SFBMix.PLC_BOSCH EXTRUDER.DB_Data_Exchange.EXT_LB_Temp_SP,SFBMix.PLC_BOSCH EXTRUDER.DB_Data_Exchange.EXT_PH_Temp_RealValue,SFBMix.PLC_BOSCH EXTRUDER.DB_Data_Exchange.EXT_PH_Temp_SP,SFBMix.PLC_BOSCH EXTRUDER.DB_Data_Exchange.EXT_UB_Temp_RealValue,SFBMix.PLC_BOSCH EXTRUDER.DB_Data_Exchange.EXT_UB_Temp_SP,SFBMix.PLC_BOSCH EXTRUDER.EXT_PH_Pressure
2024-08-13 05:41:11,30.122894,42.469543,21.247284,47.060184,-15.0,-15.381947,-13.411461,-15.902779,-14.134838,37.67361,23.89323,22.699652,51.312256,4.1049805,51.308002,39.88,40.0,50.23,50.0,40.55,40.0,3.6066265
2024-08-13 05:41:12,30.869232,42.71118,21.311249,47.07176,-15.0,-15.381947,-13.411461,-15.902779,-14.134838,37.774883,23.690683,23.488136,51.306152,4.104492,51.308002,39.88,40.0,50.29,50.0,40.5,40.0,3.4882812
2024-08-13 05:41:13,23.548553,26.933228,21.18335,47.118053,-15.0,-15.381947,-13.411461,-15.902779,-14.134838,37.5651,23.690683,23.394098,51.30005,4.104004,51.308002,39.82,40.0,50.29,50.0,40.55,40.0,3.517868
2024-08-13 05:41:14,23.612457,26.03955,21.375214,47.10648,-15.0,-15.381947,-13.411461,-15.902779,-14.134838,37.67361,23.191551,23.488136,51.324463,4.105957,51.308002,39.88,40.0,50.23,50.0,40.55,40.0,3.5474539
2024-08-13 05:41:15,25.017853,37.639557,21.598999,47.16435,-15.0,-15.381947,-13.396992,-15.902779,-14.134838,37.76765,24.016203,23.394098,51.26953,4.1015625,51.308002,39.88,40.0,50.29,50.0,40.5,40.0,3.517868
2024-08-13 05:41:16,25.496796,38.280914,21.311249,47.175926,-15.0,-15.381947,-13.396992,-15.902779,-14.120369,37.67361,23.596643,23.488136,51.324463,4.105957,51.308002,39.93,40.0,50.29,50.0,40.5,40.0,3.4586954
2024-08-13 05:41:17,23.804169,34.89801,21.311249,47.118053,-15.0,-15.381947,-13.396992,-15.902779,-14.120369,37.67361,23.184317,23.292824,51.28784,4.1030273,51.308002,39.93,40.0,50.23,50.0,40.61,40.0,3.5474539
2024-08-13 05:41:18,23.548553,25.1456,21.279266,47.21065,-15.0,-15.381947,-13.396992,-15.902779,-14.120369,37.774883,22.989004,23.357927,51.31836,4.1054688,51.308002,39.88,40.0,50.18,50.0,40.55,40.0,3.517868
2024-08-13 05:41:19,23.516632,26.167236,21.279266,47.22222,-15.0,-15.381947,-13.382523,-15.902779,-14.120369,37.67361,24.00897,22.873264,51.275635,4.102051,51.308002,39.82,40.0,50.29,50.0,40.55,40.0,3.429109
2024-08-13 05:41:20,23.676361,26.518341,21.279266,47.15278,-15.0,-15.381947,-13.382523,-15.902779,-14.120369,37.67361,23.58941,23.119213,51.330566,4.1064453,51.308002,39.88,40.0,50.29,50.0,40.55,40.0,3.5770397
2024-08-13 05:41:21,23.740234,26.263,21.215332,47.16435,-15.0,-15.381947,-13.382523,-15.902779,-14.120369,37.76765,23.292824,23.596643,51.293945,4.1035156,51.308002,39.93,40.0,50.29,50.0,40.55,40.0,3.5474539
2024-08-13 05:41:22,23.64441,26.103394,21.151367,47.15278,-15.0,-15.381947,-13.382523,-15.902779,-14.120369,37.67361,23.090277,23.49537,51.31836,4.1054688,51.308002,40.05,40.0,50.18,50.0,40.55,40.0,3.4586954
2024-08-13 05:41:23,23.64441,26.135315,21.279266,47.21065,-15.0,-15.410881,-13.382523,-15.931713,-14.120369,37.67361,23.813658,23.292824,51.30005,4.104004,51.308002,40.05,40.0,50.18,50.0,40.5,40.0,3.5474539
2024-08-13 05:41:24,23.676361,26.167236,21.343231,47.141205,-15.0,-15.381947,-13.382523,-15.931713,-14.120369,37.76765,23.191551,23.596643,51.30005,4.104004,51.308002,40.05,40.0,50.29,50.0,40.44,40.0,3.6066265
2024-08-13 05:41:25,23.64441,26.23108,21.247284,47.1875,-15.0,-15.410881,-13.382523,-15.931713,-14.120369,37.695312,23.191551,23.777489,51.306152,4.104492,51.308002,40.05,40.0,50.23,50.0,40.33,40.0,3.4882812
2024-08-13 05:41:26,23.548553,25.975677,21.18335,47.1875,-15.0,-15.410881,-13.382523,-15.931713,-14.105904,37.67361,23.22772,23.292824,51.275635,4.102051,51.308002,40.1,40.0,50.23,50.0,40.22,40.0,3.5474539
