id,sku,formula,extruder_temperature,slice_product_line_speed,n3_roller_gap,forming_roller_gap,target_weight,data_time,weight_ts,shift,actual_weight,recommend_1_roller_gap,recommend_2_roller_gap,recommend_3_roller_gap,recommend_forming_roller_gap,recommend_extruder_temperature,recommend_cross_cutter_speed,predicted_weight,operator_status,operator_reason,create_by,update_by,create_time,update_time
46531,EXSM,EXSM-Add LC-63 Non-G,65.1500,145.19,NULL,NULL,2.71,2024-09-14 00:00:15,2024-09-13 23:56:00,中班,35.53,0.1000,0.0650,0.0600,0.0600,NULL,NULL,35.54,0,NULL,SYSTEM,SYSTEM,2024-09-14 00:00:16,2024-09-14 00:00:16
46532,EXSM,EXSM-Add LC-63 Non-G,64.8700,145.44,NULL,NULL,2.71,2024-09-14 00:00:30,2024-09-13 23:56:00,中班,35.53,0.1000,0.0650,0.0600,0.0600,NULL,NULL,35.54,0,NULL,SYSTEM,SYSTEM,2024-09-14 00:00:32,2024-09-14 00:00:32
46533,EXSM,EXSM-Add LC-63 Non-G,64.4100,145.84,NULL,NULL,2.71,2024-09-14 00:00:45,2024-09-13 23:56:00,中班,35.53,0.1000,0.0650,0.0600,0.0600,NULL,NULL,35.54,0,NULL,SYSTEM,SYSTEM,2024-09-14 00:00:47,2024-09-14 00:00:47
46534,EXSM,EXSM-Add LC-63 Non-G,65.0900,145.70,NULL,NULL,2.71,2024-09-14 00:01:00,2024-09-13 23:56:00,中班,35.53,0.1000,0.0650,0.0600,0.0600,NULL,NULL,35.54,0,NULL,SYSTEM,SYSTEM,2024-09-14 00:01:01,2024-09-14 00:01:01
46535,EXSM,EXSM-Add LC-63 Non-G,64.8700,145.37,NULL,NULL,2.71,2024-09-14 00:01:15,2024-09-13 23:56:00,中班,35.53,0.1000,0.0650,0.0600,0.0600,NULL,NULL,35.54,0,NULL,SYSTEM,SYSTEM,2024-09-14 00:01:17,2024-09-14 00:01:17
46536,EXSM,EXSM-Add LC-63 Non-G,64.4100,145.77,NULL,NULL,2.71,2024-09-14 00:01:30,2024-09-13 23:56:00,中班,35.53,0.1000,0.0650,0.0600,0.0600,NULL,NULL,35.54,0,NULL,SYSTEM,SYSTEM,2024-09-14 00:01:31,2024-09-14 00:01:31
46537,EXSM,EXSM-Add LC-63 Non-G,65.1500,145.26,NULL,NULL,2.71,2024-09-14 00:01:45,2024-09-13 23:56:00,中班,35.53,0.1000,0.0650,0.0600,0.0600,NULL,NULL,35.54,0,NULL,SYSTEM,SYSTEM,2024-09-14 00:01:47,2024-09-14 00:01:47
46538,EXSM,EXSM-Add LC-63 Non-G,64.8100,145.67,NULL,NULL,2.71,2024-09-14 00:02:00,2024-09-13 23:56:00,中班,35.53,0.1000,0.0650,0.0600,0.0600,NULL,NULL,35.54,0,NULL,SYSTEM,SYSTEM,2024-09-14 00:02:01,2024-09-14 00:02:01
46539,EXSM,EXSM-Add LC-63 Non-G,64.4100,145.23,NULL,NULL,2.71,2024-09-14 00:02:16,2024-09-13 23:56:00,中班,35.53,0.1000,0.0650,0.0600,0.0600,NULL,NULL,35.54,0,NULL,SYSTEM,SYSTEM,2024-09-14 00:02:17,2024-09-14 00:02:17
46540,EXSM,EXSM-Add LC-63 Non-G,65.0900,145.72,NULL,NULL,2.71,2024-09-14 00:02:30,2024-09-13 23:56:00,中班,35.53,0.1000,0.0650,0.0600,0.0600,NULL,NULL,35.54,0,NULL,SYSTEM,SYSTEM,2024-09-14 00:02:32,2024-09-14 00:02:32
46541,EXSM,EXSM-Add LC-63 Non-G,64.7000,145.59,NULL,NULL,2.71,2024-09-14 00:02:45,2024-09-13 23:56:00,中班,35.53,0.1000,0.0650,0.0600,0.0600,NULL,NULL,35.54,0,NULL,SYSTEM,SYSTEM,2024-09-14 00:02:46,2024-09-14 00:02:46
46542,EXSM,EXSM-Add LC-63 Non-G,64.3600,145.53,NULL,NULL,2.71,2024-09-14 00:03:00,2024-09-13 23:56:00,中班,35.53,0.1000,0.0650,0.0600,0.0600,NULL,NULL,35.54,0,NULL,SYSTEM,SYSTEM,2024-09-14 00:03:01,2024-09-14 00:03:01
