id,is_change,sku,formula,extruder_temperature,slice_product_line_speed,target_weight,data_time,weight_ts,shift,actual_weight,ai_res_actual_weight,recommend_1_roller_gap,recommend_2_roller_gap,recommend_3_roller_gap,recommend_forming_roller_gap,recommend_extruder_temperature,recommend_cross_cutter_speed,predicted_weight_before_change,predicted_weight_after_change,recommend_weight_data_id,create_by,update_by,create_time,update_time
1,0,EXSM,EXSM-Add LC-63 Non-G,64.7000,139.58,2.71,2024-08-27 21:30:31,2024-08-27 21:05:55,"中班        ",35.31,35.20,0.1090,0.0750,0.0690,0.0650,NULL,NULL,35.22,35.23,NULL,SYSTEM,SYSTEM,2024-08-27 21:30:32,2024-08-27 21:30:32
2,0,EXSM,EXSM-Add LC-63 Non-G,64.7000,139.58,2.71,2024-08-27 21:30:31,2024-08-27 21:05:55,"中班        ",35.31,35.20,0.1090,0.0750,0.0690,0.0650,NULL,NULL,35.22,35.23,NULL,SYSTEM,SYSTEM,2024-08-27 21:30:32,2024-08-27 21:30:32
3,0,EXSM,EXSM-Add LC-63 Non-G,64.4100,168.51,2.71,2024-08-27 21:30:45,2024-08-27 21:05:55,"中班        ",35.31,35.20,0.1090,0.0750,0.0690,0.0650,NULL,NULL,35.22,35.23,NULL,SYSTEM,SYSTEM,2024-08-27 21:30:46,2024-08-27 21:30:46
4,0,EXSM,EXSM-Add LC-63 Non-G,64.4100,168.51,2.71,2024-08-27 21:30:45,2024-08-27 21:05:55,"中班        ",35.31,35.20,0.1090,0.0750,0.0690,0.0650,NULL,NULL,35.22,35.23,NULL,SYSTEM,SYSTEM,2024-08-27 21:30:46,2024-08-27 21:30:46
5,0,EXSM,EXSM-Add LC-63 Non-G,65.0900,168.60,2.71,2024-08-27 21:31:00,2024-08-27 21:05:55,"中班        ",35.31,35.20,0.1090,0.0750,0.0690,0.0650,NULL,NULL,35.22,35.23,NULL,SYSTEM,SYSTEM,2024-08-27 21:31:01,2024-08-27 21:31:01
6,0,EXSM,EXSM-Add LC-63 Non-G,65.0900,168.60,2.71,2024-08-27 21:31:00,2024-08-27 21:05:55,"中班        ",35.31,35.20,0.1090,0.0750,0.0690,0.0650,NULL,NULL,35.22,35.23,NULL,SYSTEM,SYSTEM,2024-08-27 21:31:01,2024-08-27 21:31:01
7,0,EXSM,EXSM-Add LC-63 Non-G,64.7500,168.49,2.71,2024-08-27 21:31:15,2024-08-27 21:05:55,"中班        ",35.31,35.20,0.1090,0.0750,0.0690,0.0650,NULL,NULL,35.22,35.23,NULL,SYSTEM,SYSTEM,2024-08-27 21:31:16,2024-08-27 21:31:16
8,0,EXSM,EXSM-Add LC-63 Non-G,64.7500,168.49,2.71,2024-08-27 21:31:15,2024-08-27 21:05:55,"中班        ",35.31,35.20,0.1090,0.0750,0.0690,0.0650,NULL,NULL,35.22,35.23,NULL,SYSTEM,SYSTEM,2024-08-27 21:31:16,2024-08-27 21:31:16
9,0,EXSM,EXSM-Add LC-63 Non-G,64.4700,168.74,2.71,2024-08-27 21:31:30,2024-08-27 21:05:55,"中班        ",35.31,35.20,0.1090,0.0750,0.0690,0.0650,NULL,NULL,35.22,35.23,NULL,SYSTEM,SYSTEM,2024-08-27 21:31:31,2024-08-27 21:31:31
10,0,EXSM,EXSM-Add LC-63 Non-G,64.4700,168.64,2.71,2024-08-27 21:31:30,2024-08-27 21:05:55,"中班        ",35.31,35.20,0.1090,0.0750,0.0690,0.0650,NULL,NULL,35.22,35.23,NULL,SYSTEM,SYSTEM,2024-08-27 21:31:31,2024-08-27 21:31:31
11,0,EXSM,EXSM-Add LC-63 Non-G,65.2100,168.49,2.71,2024-08-27 21:31:45,2024-08-27 21:05:55,"中班        ",35.31,35.20,0.1090,0.0750,0.0690,0.0650,NULL,NULL,35.22,35.23,NULL,SYSTEM,SYSTEM,2024-08-27 21:31:46,2024-08-27 21:31:46
12,0,EXSM,EXSM-Add LC-63 Non-G,65.2100,168.49,2.71,2024-08-27 21:31:45,2024-08-27 21:05:55,"中班        ",35.31,35.20,0.1090,0.0750,0.0690,0.0650,NULL,NULL,35.22,35.23,NULL,SYSTEM,SYSTEM,2024-08-27 21:31:46,2024-08-27 21:31:46
13,0,EXSM,EXSM-Add LC-63 Non-G,64.8700,168.49,2.71,2024-08-27 21:32:00,2024-08-27 21:05:55,"中班        ",35.31,35.20,0.1090,0.0750,0.0690,0.0650,NULL,NULL,35.22,35.23,NULL,SYSTEM,SYSTEM,2024-08-27 21:32:01,2024-08-27 21:32:01
14,0,EXSM,EXSM-Add LC-63 Non-G,64.8700,168.49,2.71,2024-08-27 21:32:00,2024-08-27 21:05:55,"中班        ",35.31,35.20,0.1090,0.0750,0.0690,0.0650,NULL,NULL,35.22,35.23,NULL,SYSTEM,SYSTEM,2024-08-27 21:32:01,2024-08-27 21:32:01
15,0,EXSM,EXSM-Add LC-63 Non-G,64.5300,168.56,2.71,2024-08-27 21:32:15,2024-08-27 21:05:55,"中班        ",35.31,35.20,0.1090,0.0750,0.0690,0.0650,NULL,NULL,35.22,35.23,NULL,SYSTEM,SYSTEM,2024-08-27 21:32:15,2024-08-27 21:32:15
16,0,EXSM,EXSM-Add LC-63 Non-G,64.4700,168.56,2.71,2024-08-27 21:32:15,2024-08-27 21:05:55,"中班        ",35.31,35.20,0.1090,0.0750,0.0690,0.0650,NULL,NULL,35.22,35.23,NULL,SYSTEM,SYSTEM,2024-08-27 21:32:16,2024-08-27 21:32:16
17,0,EXSM,EXSM-Add LC-63 Non-G,64.8100,168.67,2.71,2024-08-27 21:32:30,2024-08-27 21:05:55,"中班        ",35.31,35.20,0.1090,0.0750,0.0690,0.0650,NULL,NULL,35.22,35.23,NULL,SYSTEM,SYSTEM,2024-08-27 21:32:31,2024-08-27 21:32:31
