Tag,TS,Value
CG STI.CG STI.LoafGum.LoafGum01AverageTemp,2024-08-13 13:41:11.066 +08:00,30.122894
CG STI.CG STI.LoafGum.LoafGum01MinTemp,2024-08-13 13:41:11.066 +08:00,21.247284
CG STI.CG STI.LoafGum.LoafGum01MaxTemp,2024-08-13 13:41:11.066 +08:00,42.469543
SFBMix.PLC_BOSCH EXTRUDER.DB_Data_Exchange.Drum_Speed_RealValue1,2024-08-13 13:41:11.148 +08:00,51.312256
SFBMix.PLC_BOSCH EXTRUDER.DB_Data_Exchange.Drum_Speed_SP,2024-08-13 13:41:11.148 +08:00,51.308002
SFBMix.PLC_BOSCH EXTRUDER.DB_Data_Exchange.EXT_PH_Temp_SP,2024-08-13 13:41:11.148 +08:00,50
SFBMix.PLC_BOSCH EXTRUDER.DB_Data_Exchange.EXT_PH_Temp_RealValue,2024-08-13 13:41:11.148 +08:00,50.23
SFBMix.PLC_BOSCH EXTRUDER.EXT_PH_Pressure,2024-08-13 13:41:11.148 +08:00,3.6066265
SFBMix.PLC_BOSCH EXTRUDER.DB_Data_Exchange.EXT_UB_Temp_RealValue,2024-08-13 13:41:11.148 +08:00,40.55
SFBMix.PLC_BOSCH EXTRUDER.DB_Data_Exchange.Drum_Speed_RealValue2,2024-08-13 13:41:11.148 +08:00,4.1049805
SFBMix.PLC_BOSCH EXTRUDER.DB_Data_Exchange.EXT_LB_Temp_RealValue,2024-08-13 13:41:11.148 +08:00,39.88
SFBMix.PLC_BOSCH EXTRUDER.DB_Data_Exchange.EXT_UB_Temp_SP,2024-08-13 13:41:11.148 +08:00,40
SFBMix.PLC_BOSCH EXTRUDER.DB_Data_Exchange.EXT_LB_Temp_SP,2024-08-13 13:41:11.148 +08:00,40
CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,2024-08-13 13:41:11.200 +08:00,-15.381947
CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1OutletTemp,2024-08-13 13:41:11.200 +08:00,-13.411461
CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rGumEntranceTemperature,2024-08-13 13:41:11.200 +08:00,37.67361
CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum2InletTemp,2024-08-13 13:41:11.200 +08:00,-15.902779
